region_id,timestamp,val_O3_mean,extra_rings_O3_mean
IG,2017-01-06,20.0,1
IM,2017-01-06,,2
IP,2017-01-06,40.0,0
IV,2017-01-06,69.0,0
JE,2017-01-06,,2
KA,2017-01-06,30.5,1
KT,2017-01-06,14.777777777777779,2
KW,2017-01-06,69.0,1
KY,2017-01-06,47.4,1
L,2017-01-06,31.0,0
LA,2017-01-06,16.5,1
LD,2017-01-06,31.75,1
LE,2017-01-06,20.5,0
LL,2017-01-06,23.0,1
LN,2017-01-06,6.0,1
LS,2017-01-06,3.0,0
LU,2017-01-06,56.0,1
M,2017-01-06,19.5,0
ME,2017-01-06,33.0,0
MK,2017-01-06,37.5,1
ML,2017-01-06,42.5,1
N,2017-01-06,15.0,0
NE,2017-01-06,13.0,0
NG,2017-01-06,6.0,0
NN,2017-01-06,19.0,0
NP,2017-01-06,8.0,0
NR,2017-01-06,29.5,0
NW,2017-01-06,3.0,0
OL,2017-01-06,19.5,1
OX,2017-01-06,23.0,1
PA,2017-01-06,29.0,1
PE,2017-01-06,22.75,1
PH,2017-01-06,43.0,0
PL,2017-01-06,54.0,0
PO,2017-01-06,25.0,0
PR,2017-01-06,17.0,0
RG,2017-01-06,9.0,0
RH,2017-01-06,26.0,1
RM,2017-01-06,26.33333333333333,1
S,2017-01-06,30.66666666666667,0
SA,2017-01-06,56.0,0
SE,2017-01-06,20.0,0
SG,2017-01-06,17.0,1
SK,2017-01-06,22.428571428571423,1
SL,2017-01-06,18.75,1
SM,2017-01-06,14.0,2
SN,2017-01-06,10.0,1
SO,2017-01-06,21.0,0
SP,2017-01-06,22.33333333333333,1
SR,2017-01-06,26.0,0
SS,2017-01-06,26.0,0
ST,2017-01-06,8.0,0
SW,2017-01-06,14.0,1
SY,2017-01-06,45.0,1
TA,2017-01-06,9.5,1
TD,2017-01-06,42.16666666666666,1
TF,2017-01-06,8.0,1
TN,2017-01-06,31.66666666666667,1
TQ,2017-01-06,48.0,0
TR,2017-01-06,54.0,1
TS,2017-01-06,30.0,0
TW,2017-01-06,7.333333333333332,1
UB,2017-01-06,5.0,0
W,2017-01-06,12.0,0
WA,2017-01-06,18.0,0
WC,2017-01-06,10.0,0
WD,2017-01-06,17.25,1
WF,2017-01-06,21.4,1
WN,2017-01-06,9.0,0
WR,2017-01-06,17.5,1
WS,2017-01-06,23.0,0
WV,2017-01-06,15.5,1
YO,2017-01-06,12.0,0
ZE,2017-01-06,76.0,0
AB,2017-01-07,7.0,0
AL,2017-01-07,61.0,1
B,2017-01-07,6.0,0
BA,2017-01-07,20.0,1
BB,2017-01-07,11.0,1
BD,2017-01-07,20.0,1
BH,2017-01-07,35.0,0
BL,2017-01-07,10.0,1
BN,2017-01-07,24.0,0
BR,2017-01-07,14.0,1
BS,2017-01-07,20.0,0
BT,2017-01-07,32.0,0
CA,2017-01-07,33.5,1
CB,2017-01-07,22.0,0
CF,2017-01-07,27.0,0
CH,2017-01-07,28.0,0
CM,2017-01-07,21.66666666666667,1
CO,2017-01-07,23.0,0
CR,2017-01-07,14.0,1
CT,2017-01-07,28.0,0
CV,2017-01-07,9.5,0
CW,2017-01-07,17.0,1
DA,2017-01-07,21.5,1
DD,2017-01-07,30.5,1
DE,2017-01-07,17.166666666666668,1
DG,2017-01-07,39.0,0
DH,2017-01-07,22.33333333333333,1
DL,2017-01-07,27.0,1
DN,2017-01-07,27.5,1
DT,2017-01-07,30.5,1
DY,2017-01-07,9.333333333333334,1
E,2017-01-07,14.0,1
EC,2017-01-07,11.666666666666664,1
EH,2017-01-07,58.0,0
EN,2017-01-07,9.0,1
EX,2017-01-07,26.0,0
FK,2017-01-07,51.83333333333334,1
FY,2017-01-07,25.0,0
G,2017-01-07,25.0,0
GL,2017-01-07,15.75,1
GU,2017-01-07,22.5,1
GY,2017-01-07,,2
HA,2017-01-07,9.25,1
HD,2017-01-07,37.333333333333336,1
HG,2017-01-07,31.5,1
HP,2017-01-07,61.0,0
HR,2017-01-07,24.0,1
HS,2017-01-07,,2
HU,2017-01-07,4.0,0
HX,2017-01-07,22.57142857142857,2
IG,2017-01-07,14.0,1
IM,2017-01-07,,2
IP,2017-01-07,24.0,0
IV,2017-01-07,70.0,0
JE,2017-01-07,,2
KA,2017-01-07,32.0,1
KT,2017-01-07,16.0,2
KW,2017-01-07,70.0,1
KY,2017-01-07,57.2,1
L,2017-01-07,17.0,0
LA,2017-01-07,18.0,1
LD,2017-01-07,35.0,1
LE,2017-01-07,17.0,0
LL,2017-01-07,28.0,1
LN,2017-01-07,6.0,1
LS,2017-01-07,20.0,0
LU,2017-01-07,61.0,1
M,2017-01-07,7.5,0
ME,2017-01-07,29.0,0
MK,2017-01-07,39.5,1
ML,2017-01-07,49.33333333333334,1
N,2017-01-07,14.0,0
NE,2017-01-07,28.0,0
NG,2017-01-07,6.0,0
NN,2017-01-07,18.0,0
NP,2017-01-07,24.0,0
NR,2017-01-07,22.0,0
NW,2017-01-07,4.0,0
OL,2017-01-07,7.5,1
OX,2017-01-07,22.0,1
PA,2017-01-07,39.5,1
PE,2017-01-07,18.5,1
PH,2017-01-07,54.0,0
PL,2017-01-07,45.0,0
PO,2017-01-07,21.0,0
PR,2017-01-07,11.0,0
RG,2017-01-07,12.0,0
RH,2017-01-07,24.0,1
RM,2017-01-07,21.0,1
S,2017-01-07,37.333333333333336,0
SA,2017-01-07,44.5,0
SE,2017-01-07,14.0,0
SG,2017-01-07,22.0,1
SK,2017-01-07,21.428571428571427,1
SL,2017-01-07,23.5,1
SM,2017-01-07,11.0,2
SN,2017-01-07,16.0,1
SO,2017-01-07,33.0,0
SP,2017-01-07,26.66666666666667,1
SR,2017-01-07,29.0,0
SS,2017-01-07,20.0,0
ST,2017-01-07,7.0,0
SW,2017-01-07,11.0,1
