region_id,timestamp,val_Temperature.mean,extra_rings_Temperature.mean
BH,2017-01-04,5.805555555555558,0
BL,2017-01-04,4.833333333333333,2
BN,2017-01-04,4.8,0
BR,2017-01-04,6.4,1
BS,2017-01-04,6.5,0
BT,2017-01-04,6.327272727272727,0
CA,2017-01-04,2.023611111111112,0
CB,2017-01-04,6.7,0
CF,2017-01-04,6.371428571428571,1
CH,2017-01-04,6.677314814814813,1
CM,2017-01-04,6.233333333333333,1
CO,2017-01-04,6.4,0
CR,2017-01-04,6.133333333333333,1
CT,2017-01-04,6.2666666666666675,1
CV,2017-01-04,5.566666666666666,1
CW,2017-01-04,6.3500000000000005,1
DA,2017-01-04,6.2666666666666675,1
DD,2017-01-04,2.8,0
DE,2017-01-04,5.0,0
DG,2017-01-04,2.8666666666666667,0
DH,2017-01-04,2.45,1
DL,2017-01-04,1.5,0
DN,2017-01-04,5.077423007246378,1
DT,2017-01-04,5.0,0
DY,2017-01-04,6.924999999999999,1
E,2017-01-04,5.6,2
EC,2017-01-04,5.5184523809523816,3
EH,2017-01-04,3.4,0
EN,2017-01-04,5.6,1
EX,2017-01-04,5.275,0
FK,2017-01-04,5.0,0
FY,2017-01-04,5.1,1
G,2017-01-04,2.8,0
GL,2017-01-04,5.75,0
GU,2017-01-04,5.1412499999999985,1
GY,2017-01-04,,2
HA,2017-01-04,3.94166666666667,1
HD,2017-01-04,5.107291666666668,1
HG,2017-01-04,2.7,0
HP,2017-01-04,5.1,0
HR,2017-01-04,7.0,0
HS,2017-01-04,,2
HU,2017-01-04,4.997554347826087,1
HX,2017-01-04,4.0,1
IG,2017-01-04,6.175000000000002,2
IM,2017-01-04,,2
IP,2017-01-04,6.2,1
IV,2017-01-04,4.316666666666666,0
JE,2017-01-04,,2
KA,2017-01-04,3.5,0
KT,2017-01-04,5.14375,1
KW,2017-01-04,4.316666666666666,1
KY,2017-01-04,3.7,0
L,2017-01-04,6.417803030303031,2
LA,2017-01-04,5.1,0
