region_id,timestamp,val_NO2_max,extra_rings_NO2_max
WC,2017-01-06,277.0,0
WD,2017-01-06,58.4,1
WF,2017-01-06,205.46666666666667,1
WN,2017-01-06,226.0,0
WR,2017-01-06,170.33333333333334,1
WS,2017-01-06,233.5,0
WV,2017-01-06,191.25,1
YO,2017-01-06,241.33333333333331,0
ZE,2017-01-06,,2
AB,2017-01-07,249.66666666666663,0
AL,2017-01-07,243.0,1
B,2017-01-07,258.6666666666667,0
BA,2017-01-07,241.5,1
BB,2017-01-07,224.0,0
BD,2017-01-07,259.0,0
BH,2017-01-07,217.5,0
BL,2017-01-07,235.625,1
BN,2017-01-07,190.5,0
BR,2017-01-07,146.66666666666666,1
BS,2017-01-07,241.0,0
BT,2017-01-07,184.6,0
CA,2017-01-07,258.0,0
CB,2017-01-07,177.0,0
CF,2017-01-07,182.0,0
CH,2017-01-07,239.0,0
CM,2017-01-07,220.42857142857144,1
CO,2017-01-07,200.0,0
CR,2017-01-07,168.75,1
CT,2017-01-07,211.0,0
CV,2017-01-07,234.0,0
CW,2017-01-07,251.75,1
DA,2017-01-07,211.0,0
DD,2017-01-07,230.25,1
DE,2017-01-07,231.0,1
DG,2017-01-07,220.0,0
DH,2017-01-07,238.0,1
DL,2017-01-07,222.0,1
DN,2017-01-07,236.5,0
DT,2017-01-07,193.6,1
DY,2017-01-07,249.4,1
E,2017-01-07,247.0,0
EC,2017-01-07,197.66666666666663,1
EH,2017-01-07,195.66666666666663,0
EN,2017-01-07,251.0,1
EX,2017-01-07,145.5,0
FK,2017-01-07,219.5,0
FY,2017-01-07,221.0,0
G,2017-01-07,209.4,0
GL,2017-01-07,219.0,1
GU,2017-01-07,217.54545454545453,1
GY,2017-01-07,,2
HA,2017-01-07,255.4,1
HD,2017-01-07,210.11111111111111,1
HG,2017-01-07,170.16666666666666,1
HP,2017-01-07,212.0,0
HR,2017-01-07,205.0,1
HS,2017-01-07,,2
HU,2017-01-07,259.0,0
HX,2017-01-07,242.0,1
IG,2017-01-07,176.75,1
IM,2017-01-07,,2
IP,2017-01-07,188.33333333333331,1
IV,2017-01-07,246.0,0
JE,2017-01-07,,2
KA,2017-01-07,212.42857142857144,1
KT,2017-01-07,223.0,1
KW,2017-01-07,246.0,1
KY,2017-01-07,199.66666666666663,1
L,2017-01-07,244.0,0
LA,2017-01-07,238.0,1
LD,2017-01-07,219.7142857142857,1
LE,2017-01-07,227.33333333333331,0
LL,2017-01-07,239.0,1
LN,2017-01-07,242.0,0
LS,2017-01-07,144.5,0
LU,2017-01-07,276.0,0
M,2017-01-07,241.5,0
ME,2017-01-07,229.0,0
MK,2017-01-07,226.42857142857144,1
ML,2017-01-07,209.41666666666663,1
N,2017-01-07,237.0,0
NE,2017-01-07,230.0,0
NG,2017-01-07,261.5,0
NN,2017-01-07,200.0,0
NP,2017-01-07,205.0,0
NR,2017-01-07,188.0,0
NW,2017-01-07,276.0,0
OL,2017-01-07,243.0,0
OX,2017-01-07,206.5,0
PA,2017-01-07,207.25,1
PE,2017-01-07,226.9090909090909,1
PH,2017-01-07,172.0,0
PL,2017-01-07,212.5,0
PO,2017-01-07,221.0,0
PR,2017-01-07,228.0,0
RG,2017-01-07,244.0,0
