region_id,timestamp,val_SO2_max,extra_rings_SO2_max
NG,2017-01-06,108.0,0
NN,2017-01-06,108.0,2
NP,2017-01-06,119.0,1
NR,2017-01-06,108.0,2
NW,2017-01-06,54.0,0
OL,2017-01-06,53.0,1
OX,2017-01-06,51.0,2
PA,2017-01-06,3.0,1
PE,2017-01-06,108.0,1
PH,2017-01-06,3.0,1
PL,2017-01-06,78.0,2
PO,2017-01-06,64.0,1
PR,2017-01-06,119.0,1
RG,2017-01-06,75.0,1
RH,2017-01-06,53.0,1
RM,2017-01-06,36.0,0
S,2017-01-06,75.0,0
SA,2017-01-06,3.5,0
SE,2017-01-06,83.0,1
SG,2017-01-06,66.0,2
SK,2017-01-06,67.66666666666667,1
SL,2017-01-06,57.0,2
SM,2017-01-06,88.0,2
SN,2017-01-06,27.0,1
SO,2017-01-06,75.0,0
SP,2017-01-06,51.0,1
SR,2017-01-06,86.0,1
SS,2017-01-06,61.0,1
ST,2017-01-06,77.75,2
SW,2017-01-06,88.0,1
SY,2017-01-06,42.0,1
TA,2017-01-06,78.0,0
TD,2017-01-06,64.0,1
TF,2017-01-06,42.0,2
TN,2017-01-06,69.5,1
TQ,2017-01-06,78.0,2
TR,2017-01-06,78.0,3
TS,2017-01-06,86.0,0
TW,2017-01-06,46.0,1
UB,2017-01-06,46.0,1
W,2017-01-06,46.0,0
WA,2017-01-06,86.0,1
WC,2017-01-06,130.0,0
WD,2017-01-06,54.0,1
WF,2017-01-06,78.66666666666667,1
WN,2017-01-06,86.0,1
WR,2017-01-06,42.0,2
WS,2017-01-06,86.0,2
WV,2017-01-06,42.0,2
YO,2017-01-06,82.33333333333333,1
ZE,2017-01-06,,2
AB,2017-01-07,3.0,2
AL,2017-01-07,130.0,2
B,2017-01-07,78.66666666666667,2
BA,2017-01-07,121.0,0
BB,2017-01-07,67.66666666666667,2
BD,2017-01-07,86.0,1
BH,2017-01-07,85.0,2
BL,2017-01-07,64.0,1
BN,2017-01-07,3.0,0
BR,2017-01-07,46.0,2
BS,2017-01-07,85.0,1
BT,2017-01-07,71.33333333333333,0
CA,2017-01-07,75.0,2
CB,2017-01-07,91.5,2
CF,2017-01-07,86.0,0
CH,2017-01-07,86.0,1
CM,2017-01-07,64.0,1
CO,2017-01-07,64.0,2
CR,2017-01-07,54.0,2
CT,2017-01-07,53.0,1
CV,2017-01-07,78.66666666666667,2
CW,2017-01-07,63.14285714285714,2
DA,2017-01-07,58.5,1
DD,2017-01-07,33.5,2
DE,2017-01-07,78.66666666666667,1
DG,2017-01-07,33.5,2
DH,2017-01-07,86.0,1
DL,2017-01-07,86.0,1
DN,2017-01-07,88.75,1
DT,2017-01-07,85.0,1
DY,2017-01-07,69.33333333333333,2
E,2017-01-07,86.0,2
EC,2017-01-07,64.0,1
EH,2017-01-07,64.0,0
EN,2017-01-07,130.0,1
EX,2017-01-07,49.0,1
FK,2017-01-07,3.0,0
FY,2017-01-07,53.0,2
G,2017-01-07,3.0,1
GL,2017-01-07,85.33333333333333,2
GU,2017-01-07,3.0,1
GY,2017-01-07,,2
HA,2017-01-07,108.0,1
HD,2017-01-07,58.5,1
HG,2017-01-07,86.0,1
HP,2017-01-07,130.0,2
HR,2017-01-07,73.5,2
HS,2017-01-07,,2
HU,2017-01-07,119.0,0
HX,2017-01-07,66.75,2
IG,2017-01-07,64.0,1
IM,2017-01-07,,2
IP,2017-01-07,119.0,2
IV,2017-01-07,3.0,2
