region_id,timestamp,val_Pressure.max,extra_rings_Pressure.max
RH,2017-01-05,1034.5,2
RM,2017-01-05,1034.5,3
S,2017-01-05,1014.0,4
SA,2017-01-05,1014.0,2
SE,2017-01-05,1034.5,2
SG,2017-01-05,1033.4,3
SK,2017-01-05,1014.0,3
SL,2017-01-05,1033.95,1
SM,2017-01-05,1034.5,2
SN,2017-01-05,1020.85,1
SO,2017-01-05,1020.85,1
SP,2017-01-05,1020.85,0
SR,2017-01-05,1014.0,7
SS,2017-01-05,1033.95,4
ST,2017-01-05,1014.0,3
SW,2017-01-05,1034.5,1
SY,2017-01-05,1014.0,1
TA,2017-01-05,1020.85,2
TD,2017-01-05,1014.0,6
TF,2017-01-05,1014.0,2
TN,2017-01-05,1034.5,3
TQ,2017-01-05,1020.85,3
TR,2017-01-05,1020.85,4
TS,2017-01-05,1014.0,6
TW,2017-01-05,1034.5,0
UB,2017-01-05,1033.4,0
W,2017-01-05,1033.95,1
WA,2017-01-05,1014.0,2
WC,2017-01-05,1033.95,2
WD,2017-01-05,1033.4,1
WF,2017-01-05,1014.0,5
WN,2017-01-05,1014.0,3
WR,2017-01-05,1014.0,2
WS,2017-01-05,1014.0,3
WV,2017-01-05,1014.0,2
YO,2017-01-05,1014.0,6
ZE,2017-01-05,,2
AB,2017-01-06,1013.4,10
AL,2017-01-06,1033.5,2
B,2017-01-06,1013.4,3
BA,2017-01-06,1020.7,1
BB,2017-01-06,1013.4,4
BD,2017-01-06,1013.4,5
BH,2017-01-06,1020.7,1
BL,2017-01-06,1013.4,4
BN,2017-01-06,1034.5,2
BR,2017-01-06,1034.5,3
BS,2017-01-06,1020.7,2
BT,2017-01-06,,2
CA,2017-01-06,1013.4,5
CB,2017-01-06,1033.5,4
CF,2017-01-06,1013.4,3
CH,2017-01-06,1013.4,1
CM,2017-01-06,1033.5,3
CO,2017-01-06,1033.5,4
CR,2017-01-06,1034.5,2
CT,2017-01-06,1034.5,4
CV,2017-01-06,1018.2666666666668,3
CW,2017-01-06,1013.4,2
DA,2017-01-06,1034.5,3
DD,2017-01-06,1013.4,9
DE,2017-01-06,1018.2666666666664,4
DG,2017-01-06,1013.4,6
DH,2017-01-06,1013.4,6
DL,2017-01-06,1013.4,5
DN,2017-01-06,1013.4,5
DT,2017-01-06,1020.7,1
DY,2017-01-06,1013.4,2
E,2017-01-06,1034.0,3
EC,2017-01-06,1034.0,3
EH,2017-01-06,1013.4,7
EN,2017-01-06,1033.5,2
EX,2017-01-06,1020.7,2
FK,2017-01-06,1013.4,8
FY,2017-01-06,1013.4,4
G,2017-01-06,1013.4,8
GL,2017-01-06,1020.7,2
GU,2017-01-06,1034.5,1
GY,2017-01-06,,2
HA,2017-01-06,1033.5,1
HD,2017-01-06,1013.4,4
HG,2017-01-06,1013.4,6
HP,2017-01-06,1027.35,2
HR,2017-01-06,1013.4,2
HS,2017-01-06,,2
HU,2017-01-06,1013.4,6
HX,2017-01-06,1013.4,5
IG,2017-01-06,1034.0,3
IM,2017-01-06,,2
IP,2017-01-06,1027.35,5
IV,2017-01-06,1013.4,10
JE,2017-01-06,,2
KA,2017-01-06,1013.4,7
KT,2017-01-06,1034.5,1
KW,2017-01-06,1013.4,11
KY,2017-01-06,1013.4,8
L,2017-01-06,1013.4,2
LA,2017-01-06,1013.4,4
LD,2017-01-06,1013.4,2
LE,2017-01-06,1018.2666666666664,4
LL,2017-01-06,1013.4,0
LN,2017-01-06,1027.35,5
LS,2017-01-06,1013.4,6
LU,2017-01-06,1027.35,3
M,2017-01-06,1013.4,3
ME,2017-01-06,1034.5,4
MK,2017-01-06,1027.35,3
ML,2017-01-06,1013.4,7
N,2017-01-06,1034.0,3
NE,2017-01-06,1013.4,6
NG,2017-01-06,1024.56,5
NN,2017-01-06,1020.7,3
NP,2017-01-06,1018.2666666666664,3
NR,2017-01-06,1027.35,5
NW,2017-01-06,1034.0,2
OL,2017-01-06,1013.4,4
OX,2017-01-06,1020.7,2
PA,2017-01-06,1013.4,8
PE,2017-01-06,1027.35,4
PH,2017-01-06,1013.4,9
PL,2017-01-06,1020.7,3
PO,2017-01-06,1025.3,2
PR,2017-01-06,1013.4,3
RG,2017-01-06,1020.7,1
RH,2017-01-06,1034.5,2
RM,2017-01-06,1034.5,3
S,2017-01-06,1013.4,4
SA,2017-01-06,1013.4,2
SE,2017-01-06,1034.5,2
SG,2017-01-06,1033.5,3
SK,2017-01-06,1013.4,3
SL,2017-01-06,1034.0,1
SM,2017-01-06,1034.5,2
SN,2017-01-06,1020.7,1
SO,2017-01-06,1020.7,1
SP,2017-01-06,1020.7,0
SR,2017-01-06,1013.4,7
SS,2017-01-06,1034.0,4
ST,2017-01-06,1013.4,3
SW,2017-01-06,1034.5,1
SY,2017-01-06,1013.4,1
TA,2017-01-06,1020.7,2
TD,2017-01-06,1013.4,6
TF,2017-01-06,1013.4,2
TN,2017-01-06,1034.5,3
TQ,2017-01-06,1020.7,3
TR,2017-01-06,1020.7,4
TS,2017-01-06,1013.4,6
TW,2017-01-06,1034.5,0
UB,2017-01-06,1033.5,0
W,2017-01-06,1034.0,1
WA,2017-01-06,1013.4,2
WC,2017-01-06,1034.0,2
WD,2017-01-06,1033.5,1
WF,2017-01-06,1013.4,5
WN,2017-01-06,1013.4,3
WR,2017-01-06,1013.4,2
WS,2017-01-06,1013.4,3
WV,2017-01-06,1013.4,2
YO,2017-01-06,1013.4,6
ZE,2017-01-06,,2
AB,2017-01-07,1012.5,10
AL,2017-01-07,1028.6,2
B,2017-01-07,1012.5,3
BA,2017-01-07,1017.4,1
BB,2017-01-07,1012.5,4
BD,2017-01-07,1012.5,5
BH,2017-01-07,1017.4,1
BL,2017-01-07,1012.5,4
BN,2017-01-07,1029.7,2
BR,2017-01-07,1029.7,3
BS,2017-01-07,1017.4,2
BT,2017-01-07,,2
CA,2017-01-07,1012.5,5
CB,2017-01-07,1028.6,4
CF,2017-01-07,1012.5,3
CH,2017-01-07,1012.5,1
CM,2017-01-07,1028.6,3
CO,2017-01-07,1028.6,4
CR,2017-01-07,1029.7,2
CT,2017-01-07,1029.7,4
CV,2017-01-07,1015.7666666666668,3
CW,2017-01-07,1012.5,2
DA,2017-01-07,1029.7,3
DD,2017-01-07,1012.5,9
DE,2017-01-07,1015.7666666666668,4
DG,2017-01-07,1012.5,6
DH,2017-01-07,1012.5,6
DL,2017-01-07,1012.5,5
DN,2017-01-07,1012.5,5
DT,2017-01-07,1017.4,1
DY,2017-01-07,1012.5,2
E,2017-01-07,1029.15,3
EC,2017-01-07,1029.15,3
EH,2017-01-07,1012.5,7
EN,2017-01-07,1028.6,2
EX,2017-01-07,1017.4,2
FK,2017-01-07,1012.5,8
FY,2017-01-07,1012.5,4
