region_id,timestamp,val_NO2_mean,extra_rings_NO2_mean
BL,2017-01-07,46.75,1
BN,2017-01-07,23.75,0
BR,2017-01-07,39.333333333333336,1
BS,2017-01-07,44.0,0
BT,2017-01-07,36.6,0
CA,2017-01-07,45.0,0
CB,2017-01-07,16.0,0
CF,2017-01-07,17.0,0
CH,2017-01-07,33.5,0
CM,2017-01-07,33.42857142857143,1
CO,2017-01-07,23.0,0
CR,2017-01-07,38.5,1
CT,2017-01-07,22.0,0
CV,2017-01-07,39.66666666666666,0
CW,2017-01-07,47.0,1
DA,2017-01-07,26.0,0
DD,2017-01-07,38.75,1
DE,2017-01-07,43.36363636363637,1
DG,2017-01-07,21.5,0
DH,2017-01-07,35.25,1
DL,2017-01-07,35.18181818181818,1
DN,2017-01-07,43.5,0
DT,2017-01-07,33.5,1
DY,2017-01-07,47.6,1
E,2017-01-07,53.0,0
EC,2017-01-07,46.16666666666666,1
EH,2017-01-07,13.333333333333336,0
EN,2017-01-07,52.28571428571429,1
EX,2017-01-07,23.0,0
FK,2017-01-07,20.0,0
FY,2017-01-07,30.0,0
G,2017-01-07,56.4,0
GL,2017-01-07,45.88888888888889,1
GU,2017-01-07,31.63636363636364,1
GY,2017-01-07,,2
HA,2017-01-07,55.0,1
HD,2017-01-07,38.333333333333336,1
HG,2017-01-07,34.5,1
HP,2017-01-07,2.0,0
HR,2017-01-07,62.33333333333334,1
HS,2017-01-07,,2
HU,2017-01-07,53.5,0
HX,2017-01-07,45.33333333333334,1
IG,2017-01-07,47.25,1
IM,2017-01-07,,2
IP,2017-01-07,19.666666666666668,1
IV,2017-01-07,28.0,0
JE,2017-01-07,,2
KA,2017-01-07,46.42857142857143,1
KT,2017-01-07,31.0,1
KW,2017-01-07,28.0,1
KY,2017-01-07,15.333333333333336,1
L,2017-01-07,37.0,0
LA,2017-01-07,39.2,1
LD,2017-01-07,40.42857142857143,1
LE,2017-01-07,38.333333333333336,0
LL,2017-01-07,33.5,1
LN,2017-01-07,39.0,0
LS,2017-01-07,41.0,0
LU,2017-01-07,59.0,0
M,2017-01-07,51.0,0
ME,2017-01-07,28.5,0
MK,2017-01-07,32.714285714285715,1
ML,2017-01-07,33.75,1
N,2017-01-07,44.0,0
NE,2017-01-07,32.5,0
NG,2017-01-07,53.5,0
NN,2017-01-07,22.0,0
NP,2017-01-07,62.33333333333334,0
NR,2017-01-07,20.0,0
NW,2017-01-07,71.0,0
OL,2017-01-07,54.0,0
OX,2017-01-07,31.5,0
PA,2017-01-07,41.75,1
PE,2017-01-07,36.54545454545455,1
PH,2017-01-07,12.0,0
PL,2017-01-07,23.0,0
